159,STS,cadillac-sts
159,XLR,cadillac-xlr
159,XT4,cadillac-xt4
159,XT5,cadillac-xt5
159,XT6,cadillac-xt6
159,XTS,cadillac-xts
NULL,Chevrolet,chevrolet
189,1500 Extended Cab,chevrolet-1500-extended-cab
189,1500 Regular Cab,chevrolet-1500-regular-cab
189,2500 Crew Cab,chevrolet-2500-crew-cab
189,2500 Extended Cab,chevrolet-2500-extended-cab
189,2500 HD Extended Cab,chevrolet-2500-hd-extended-cab
189,2500 HD Regular Cab,chevrolet-2500-hd-regular-cab
189,2500 Regular Cab,chevrolet-2500-regular-cab
189,3500 Crew Cab,chevrolet-3500-crew-cab
189,3500 Extended Cab,chevrolet-3500-extended-cab
189,3500 HD Extended Cab,chevrolet-3500-hd-extended-cab
189,3500 HD Regular Cab,chevrolet-3500-hd-regular-cab
189,3500 Regular Cab,chevrolet-3500-regular-cab
189,APV Cargo,chevrolet-apv-cargo
189,Astro Cargo,chevrolet-astro-cargo
189,Astro Passenger,chevrolet-astro-passenger
189,Avalanche,chevrolet-avalanche
189,Avalanche 1500,chevrolet-avalanche-1500
189,Avalanche 2500,chevrolet-avalanche-2500
189,Aveo,chevrolet-aveo
189,Beretta,chevrolet-beretta
189,Blazer,chevrolet-blazer
189,Blazer EV,chevrolet-blazer-ev
189,Bolt EUV,chevrolet-bolt-euv
189,Bolt EV,chevrolet-bolt-ev
189,Camaro,chevrolet-camaro
189,Caprice,chevrolet-caprice
189,Caprice Classic,chevrolet-caprice-classic
189,Captiva Sport,chevrolet-captiva-sport
189,Cavalier,chevrolet-cavalier
189,City Express,chevrolet-city-express
189,Classic,chevrolet-classic
189,Cobalt,chevrolet-cobalt
189,Colorado Crew Cab,chevrolet-colorado-crew-cab
189,Colorado Extended Cab,chevrolet-colorado-extended-cab
189,Colorado Regular Cab,chevrolet-colorado-regular-cab
189,Corsica,chevrolet-corsica
189,Corvette,chevrolet-corvette
189,Cruze,chevrolet-cruze
189,Cruze Limited,chevrolet-cruze-limited
189,Equinox,chevrolet-equinox
189,Equinox EV,chevrolet-equinox-ev
189,Express 1500 Cargo,chevrolet-express-1500-cargo
189,Express 1500 Passenger,chevrolet-express-1500-passenger
189,Express 2500 Cargo,chevrolet-express-2500-cargo
189,Express 2500 Passenger,chevrolet-express-2500-passenger
189,Express 3500 Cargo,chevrolet-express-3500-cargo
189,Express 3500 Passenger,chevrolet-express-3500-passenger
189,G-Series 1500,chevrolet-g-series-1500
189,G-Series 2500,chevrolet-g-series-2500
189,G-Series 3500,chevrolet-g-series-3500
189,G-Series G10,chevrolet-g-series-g10
189,G-Series G20,chevrolet-g-series-g20
189,G-Series G30,chevrolet-g-series-g30
189,HHR,chevrolet-hhr
